cpu_s,cv,expected_overtime_min,fitness,instance,loader_release_rule,max_decision_time_s,mean_cmax_min,mean_decision_time_s,mean_loader_utilization,mean_n_reoptimizations,mean_pad_dump_utilization,mean_pad_fine_tons,mean_plant_dump_utilization,mean_plant_fine_tons,mean_truck_wait_min,method,prob_finish_within_shift,prob_pad_target,prob_plant_target,replications,rollout_seed,sd_cmax_min,search_fitness,simulation_seed,tsi_evaluations,tsi_seed
190.57146809995174,0.1,0.0,928.49330172342,I04,,,928.49330172342,,0.007935144086289833,,0.002168643261750534,,0.015075930071205657,,0.009588021662769293,SimTSI-DES,1.0,1.0,1.0,500,,1.4572860843610764,928.6456634612089,500000,31908,12345
162.60080139990896,0.1,0.0,,I04,,0.0,928.49330172342,0.0,0.007935144086289833,0,,,,,0.009588021662769293,DynSimTSI-DES,1.0,1.0,1.0,500,900000,1.4572860843610764,,500000,,12345
135.76210859999992,0.2,0.0,928.4308419543663,I04,load_only,,928.4308419543663,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,2.908226446292435,928.662729011493,500000,31908,12345
161.68630869989283,0.2,0.0,928.4308419543663,I04,,,928.4308419543663,,0.007926634044360848,,0.0021857600061622857,,0.015072725067823084,,0.029884393257506338,SimTSI-DES,1.0,1.0,1.0,500,,2.908226446292435,928.662729011493,500000,31908,12345
153.33185860002413,0.2,0.0,,I04,,0.0,928.4308419543663,0.0,0.007926634044360848,0,,,,,0.029884393257506338,DynSimTSI-DES,1.0,1.0,1.0,500,900000,2.908226446292435,,500000,,12345
133.7109886999242,0.3,0.0,928.3731337520242,I04,load_only,,928.3731337520242,,,,,235.95,,865.975,,SimTSI-MC,1.0,1.0,1.0,500,,4.351385331338554,928.6173792990273,500000,31908,12345
163.6716000000015,0.3,0.0,928.3731337520242,I04,,,928.3731337520242,,0.007916978741486372,,0.0022049249349329948,,0.015067650401092234,,0.031914640124624784,SimTSI-DES,1.0,1.0,1.0,500,,4.351385331338554,928.6173792990273,500000,31908,12345
198.8443969001528,0.3,0.0,,I04,,0.0,928.3731337520242,0.0,0.007916978741486372,0,,,,,0.031914640124624784,DynSimTSI-DES,1.0,1.0,1.0,500,900000,4.351385331338554,,500000,,12345
241.29429330001585,0.05,0.0,1079.3773807579332,I05,load_only,,1079.3773807579332,,,,,235.95,,865.9749999999999,,SimTSI-MC,1.0,1.0,1.0,500,,0.7133997812659709,1079.455043812185,500000,41146,12345
292.6385324001312,0.05,0.0,1079.3773807579332,I05,,,1079.3773807579332,,0.006485051975452147,,0.0055490054837289285,,0.01297788887176725,,0.0,SimTSI-DES,1.0,1.0,1.0,500,,0.7133997812659709,1079.455043812185,500000,41146,12345
